2020-2021 第1学期

课程名称	分数	学分	学时	课程类别
思想道德修养与法律基础	91	3		必修课
Ideological and Moral Cultivation and Basic Law Education	91	3		Required
计算机与信息技术	79	2		必修课
Computer and Information Technology	79	2		Required
体育 I	60	1		必修课
PE (Physical Education) I	60	1		Required
政治经济学	60	3		必修课
Political Economics	60	3		Required
微积分 I	68	4		必修课
Calculus I	68	4		Required
大学英语 I	78	3		必修课
College English I	78	3		Required
管理学	71	3		必修课
Science of Management	71	3		Required
2020-2021 第2学期

课程名称	分数	学分	学时	课程类别
体育 II	80	1		必修课
PE (Physical Education) II	80	1		Required
微积分 II	65	4		必修课
Calculus II	65	4		Required
线性代数	67	3		必修课
Linear Algebra	67	3		Required
数据库应用基础	82	3		必修课
Basics of Database Application	82	3		Required
军事训练	82	1		必修课
Military Training	82	1		Required
军事理论	99.4	1		必修课
Military Theory	99.4	1		Required
大学生职业生涯规划	99.53	1		公选课
MOOC 74	99.53	1		Public Elective
大学英语 II	85	3		必修课
College English II	85	3		Required
微观经济学	77	3		必修课
Microeconomics	77	3		Required
创新创业基础	70	1		必修课
Basics of Innovation and Entrepreneurship	70	1		Required
中国近现代史纲要	66	3		必修课
Outline of Modern Chinese History	66	3		Required
2021-2022 第1学期

课程名称	分数	学分	学时	课程类别
马克思主义基本原理	85	2		必修课
Basic Principles of Marxism	85	2		Required
家园的治理：环境科学概论	98	1		公选课
MOOC 76	98	1		Public Elective
宏观经济学	92	3		必修课
Macroeconomics	92	3		Required
劳动通论	100	1		公选课
MOOC 189	100	1		Public Elective
像经济学家那样思考：信息、激励与政策	99	1		公选课
MOOC 158	99	1		Public Elective
概率论与数理统计	97	4		必修课
Probability and Mathematical Statistics	97	4		Required
风险管理	90	3		必修课
Risk Management	90	3		Required
财政学	81	3		必修课
Finance	81	3		Required
金融学	81	3		必修课
Finance	81	3		Required
体育 III	78	1		必修课
PE (Physical Education) III	78	1		Required
大学英语 III	83	4		必修课
College English III	83	4		Required
2021-2022 第2学期

课程名称	分数	学分	学时	课程类别
交响音乐赏析	98	1		公选课
MOOC 225	98	1		Public Elective
国际经济学	82	1		公选课
MOOC 183	82	1		Public Elective
保险法	95	2		限选课
Insurance Law	95	2		Limited Elective
毛泽东思想和中国特色社会主义理论体系概论	92	5		必修课
Introduction to Mao Zedong Thought and the Theoretical System of Socialism with Chinese Characteristics	92	5		Required
形势与政策	良好	2		必修课
Situation and Policy	GOOD	2		Required
管理会计学	94	1		公选课
MOOC 209	94	1		Public Elective
大学英语IV	89	4		必修课
College English IV	89	4		Required
保险学(双语)	95	3		必修课
Insurance	95	3		Required
统计学	94	3		必修课
Statistics	94	3		Required
体育 IV	78	1		必修课
PE (Physical Education) IV	78	1		Required
会计学	91	3		必修课
Science of Accounting	91	3		Required
2022-2023 第1学期

课程名称	分数	学分	学时	课程类别
保险精算学	95	2		必修课
Actuarial Science	95	2		Required
国际经济学	87	3		必修课
International Economics	87	3		Required
大国兵器	100	1		公选课
MOOC 237	100	1		Public Elective
计量经济学	94	3		必修课
Econometrics	94	3		Required
商业银行业务实训	84	2		必修课
Commercial Banking Practice Training	84	2		Required
百年风流人物：康有为	100	1		公选课
MOOC 238	100	1		Public Elective
社会保险学	87	2		限选课
Social Insurance	87	2		Limited Elective
习近平新时代中国特色社会主义思想概论	88	1		必修课
Introduction to Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era	88	1		Required
人身保险	93	3		必修课
Personal Insurance	93	3		Required
财产保险	92	3		必修课
Property Insurance	92	3		Required
《理想国》导读	99	1		公选课
MOOC 214	99	1		Public Elective
证券投资分析实验	88	2		必修课
Securities Analysis Experiment	88	2		Required
2022-2023 第2学期

课程名称	分数	学分	学时	课程类别
再保险	95	2		限选课
Reinsurance	95	2		Limited Elective
大学生就业指导	92	1		公选课
MOOC 464	92	1		Public Elective
创新创业与学科专业竞赛	83	1		必修课
Innovation and Entrepreneurship and Subject Specialty Contests	83	1		Required
保险营销学	86	2		限选课
Insurance Marketing	86	2		Limited Elective
保险投资学	92	3		必修课
Science of Insurance Investment	92	3		Required
保险经营与管理	89	2		限选课
Insurance Operation and Management	89	2		Limited Elective
保险会计实验	91	2		必修课
Insurance Accounting Experiment	91	2		Required
保险业务综合实验	92	2		必修课
Comprehensive Experiment of Insurance	92	2		Required
财经应用文写作	88	2		必修课
Finance and Economics Practical Writing	88	2		Required
